name,abn,total_income,taxable_income,tax_payable,income_year,postcode
ASKIN GROUP HOLDINGS PTY LIMITED,51626106947,209726948,12944843.0,3883453.0,2021-22,2000
ASPEN ASIA PACIFIC PTY LTD,75146444484,577212897,125126142.0,33145421.0,2021-22,2065
ASPEN GROUP LIMITED,50004160927,100013029,,,2021-22,2000
ASPEN MEDICAL PTY LIMITED,32105250413,311626612,40743671.0,11945466.0,2021-22,2600
ASSA ABLOY AUSTRALIA PACIFIC PTY LIMITED,81095354582,506196761,68492972.0,19453533.0,2021-22,3166
ASSOCIATED KILN DRIERS PTY. LIMITED,34004341048,686184094,130064791.0,39019437.0,2021-22,3250
ASSOCIATED RETAILERS LIMITED,42004520030,212914715,,,2021-22,3166
ASTELLAS PHARMA AUSTRALIA PTY LTD,81147915482,125116961,,,2021-22,2113
ASTRAZENECA HOLDINGS PTY LIMITED,59066876962,1085127894,155685431.0,40390847.0,2021-22,2113
ASX LIMITED,98008624691,1082780387,789619162.0,226981735.0,2021-22,2000
AT&T GLOBAL NETWORK SERVICES AUSTRALIA PTY LTD,72087916701,116392467,1006673.0,302002.0,2021-22,2060
ATCO AUSTRALIA PTY LTD,74091033546,212976002,13949788.0,,2021-22,6000
ATCO STRUCTURES & LOGISTICS PTY LTD,71083902309,185012944,29843628.0,8953088.0,2021-22,4207
ATI GLOBAL LIMITED,31634158204,536678029,,,2021-22,2000
ATLANTIC & PENINSULA AUSTRALIA PTY LIMITED LIMITED,50158698527,107536290,10998132.0,3299440.0,2021-22,2011
ATLAS COPCO AUSTRALIA PTY LIMITED,85620125153,186087834,19697280.0,5909184.0,2021-22,2148
ATLAS IRON PTY LTD,63110396168,1351929270,557296466.0,167188940.0,2021-22,6000
ATLASSIAN AUSTRALIA 1 PTY LTD,98166799542,3558944047,702796070.0,124535314.0,2021-22,2000
AUB GROUP LIMITED,60000000715,158802030,83785301.0,,2021-22,2060
AUDANT INVESTMENTS PTY LIMITED,33002892855,200399822,21612779.0,5185552.0,2021-22,2000
AUDI AUSTRALIA PTY LIMITED,86077092776,1079171254,43805086.0,13141526.0,2021-22,2017
AUDIBLE AUSTRALIA PTY LTD,89624383811,141449423,14150936.0,4226776.0,2021-22,2000
AURECON GROUP PTY LTD,12133838187,902808462,104854907.0,30921916.0,2021-22,3008
AURELIA METALS LIMITED,37108476384,476655310,,,2021-22,4000
AURIZON HOLDINGS LIMITED,14146335622,3136941552,601287468.0,170845723.0,2021-22,4006
AURORA DAIRIES HOLDINGS PTY LTD,90625617003,114048168,,,2021-22,3000
AUSBUILD GROUP PTY LTD,35609450419,209680981,2764572.0,79372.0,2021-22,4157
AUSCAN HOLDINGS PTY LTD,70084400886,222814172,,,2021-22,2060
AUSCO HOLDINGS PTY LIMITED,13150795547,352360803,121392.0,,2021-22,4301
AUSENCO PTY LTD,31114541114,217631689,4688440.0,,2021-22,4101
AUSFINE FOODS INTERNATIONAL PTY LTD,12006926129,259299140,5792148.0,1737644.0,2021-22,3149
AUSGRID FINANCE PTY LTD,14615343005,444682171,,,2021-22,2000
AUSGRID MANAGEMENT PTY LTD,83615449548,504152157,,,2021-22,2000
AUSNET SERVICES LTD.,45603317559,1762754796,10196854.0,3059056.0,2021-22,3006
AUSREO HOLDINGS PTY LIMITED,22125694055,360132021,17448834.0,5153062.0,2021-22,2164
AUSSIE BROADBAND LIMITED,29132090192,546243280,,,2021-22,3840
AUSTAL LIMITED,73009250266,626936942,,,2021-22,6166
AUSTRALASIAN FOODS HOLDCO PTY LTD,70612640329,388622781,6111968.0,,2021-22,2000
AUSTRALASIAN PERFORMING RIGHT ASSOCIATION LIMITED,42000016099,380948538,,,2021-22,2007
AUSTRALASIAN SOLVENTS AND CHEMICALS COMPANY PTY LTD,57095441080,169425958,6594141.0,1974960.0,2021-22,4129
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,11005357522,26635077162,5346411632.0,1569273055.0,2021-22,3008
AUSTRALIA MILLING GROUP PTY LTD,57127428406,147744255,,,2021-22,3400
AUSTRALIA PACIFIC AIRPORTS CORPORATION LIMITED,89069775266,658084615,,,2021-22,3043
AUSTRALIA PACIFIC LNG PTY LTD,68001646331,9347824996,689659530.0,,2021-22,4064
AUSTRALIA YMCI PTY LTD,35607884711,146550595,,,2021-22,2000
AUSTRALIA ZHIRAN CO. PTY LTD,87619268727,222553648,4908271.0,1472481.0,2021-22,6021
AUSTRALIAN AGED CARE PARTNERS HOLDINGS PTY LTD,20162265983,427887030,,,2021-22,2065
AUSTRALIAN AGRICULTURAL COMPANY LIMITED,15010892270,667433111,81400.0,,2021-22,4006
AUSTRALIAN BAKELS PTY LIMITED,35000112836,143670372,15014827.0,4504448.0,2021-22,2128
AUSTRALIAN BULLION COMPANY (N S W) PTY LTD,82002858602,1514729913,3603514.0,1081054.0,2021-22,2000
AUSTRALIAN CENTRAL CREDIT UNION LTD,11087651125,329139990,29689155.0,5933576.0,2021-22,5000
AUSTRALIAN CLINICAL LABS LIMITED,94645711128,996114663,238586930.0,71466569.0,2021-22,3168
